Pays;Biscuits;Jus d'orange;Yaourt
Autriche;16,31151667;149,2517007;0
Belgique;16,34040512;185,1885605;33,95
Allemagne;11,92112264;154,8783889;47,95533536
Bulgarie;17,9632;137,9901961;71,69354839
Danemark;3,25331058;86,4162026;38,04914574
Espagne;27,16071429;158,773348;94,44158076
Finlande;8,471052704;93,950199;50,25832616
France;15,41986896;86,49085865;44,17
Royaume-Uni;10,98965541;121,4616898;29,56032609
Grèce;18,39710611;167,4593496;60,27349159
Italie;27,32801075;3,969430328;0
Pays-Bas;12,3069089;147,9824637;131,9988284
Suède;7,632653061;79,59212089;15,35555556
